DOI,Paper Title,Study Population / Unit of Analysis,Total Sample Size,Geographical Setting (n),Association Test Method,Independent Variable Unit,Dependent Variable Unit,Effect Size (Correlation/P-value)
10.1016/j.biocon.2008.11.009,Spatial congruence between biodiversity and ecosystem services in South Africa,"Grid squares spanning the semi-arid landscape of South Africa. The resolution is quarter-degree squares (QDS), approximately 700 km².",2014,South Africa,Spearman rank correlations (r),Surface water supply (not reported | runoff); Water flow regulation (not reported | percentage contribution of groundwater to base flows); Carbon storage (not reported | carbon storage potentials for different vegetation types); Soil accumulation (not reported | function of soil depth and leaf litter accumulation index); Soil retention (not reported | function of vegetation cover and erodibility),Birds (the richest 10% of grid cells | number of species); Frogs (the richest 10% of grid cells | number of species); Butterfly (the richest 10% of grid cells | number of species); Mammals (the richest 10% of grid cells | number of species); Animals combined (the richest 10% of grid cells | number of species); Threatened and endemic plants (the richest 10% of grid cells | number of species); Threatened plants (the richest 10% of grid cells | number of species); Endemic plants (the richest 10% of grid cells | number of species); Vegetation diversity (1 to 17 | number of vegetation types per QDS),Water flow regulation & Birds: r=0.22; Surface water supply & Birds: r=0.1; Soil retention & Birds: r=0.1; Soil accumulation & Birds: r=0.14; Water flow regulation & Frogs: r=0.1; Surface water supply & Frogs: r=0.23; Soil retention & Frogs: r=0.19; Soil accumulation & Frogs: r=0.23; Water flow regulation & Butterfly: r=0.19; Surface water supply & Butterfly: r=0.15; Soil retention & Butterfly: r=0.16; Soil accumulation & Butterfly: r=0.15; Carbon storage & Butterfly: r=0.1; Water flow regulation & Mammals: r=0.17; Surface water supply & Mammals: r=0.18; Soil retention & Mammals: r=0.19; Soil accumulation & Mammals: r=0.27; Water flow regulation & Animals combined: r=0.18; Surface water supply & Animals combined: r=0.16; Soil retention & Animals combined: r=0.18; Soil accumulation & Animals combined: r=0.24; Water flow regulation & Threatened and endemic plants: r=0.18; Surface water supply & Threatened and endemic plants: r=0.18; Soil retention & Threatened and endemic plants: r=0.11; Carbon storage & Threatened and endemic plants: r=0.11; Water flow regulation & Threatened plants: r=0.1; Surface water supply & Threatened plants: r=0.1; Soil accumulation & Threatened plants: r=−0.08; Carbon storage & Threatened plants: r=0.06; Water flow regulation & Endemic plants: r=0.14; Surface water supply & Endemic plants: r=0.18; Carbon storage & Endemic plants: r=0.23; Water flow regulation & Vegetation diversity: r=0.18; Surface water supply & Vegetation diversity: r=0.13; Carbon storage & Vegetation diversity: r=0.26
10.1111/j.1365-2664.2010.01777.x,The impact of proxy-based methods on mapping the distribution of ecosystem services,Grid squares in England (10×10 km British National Grid squares),1485,England,Spearman rank correlation (rho),Biodiversity - data (0–30 | number of BAP species); Biodiversity - proxy (0–14 | number of BAP species); Carbon - data (3.6–76 | kg C/m^2); Carbon - proxy (7.6–39 | kg C/m^2); Recreation - data (0.04–1.8 | average number of visits); Recreation - land cover alone (0–1.6 | average number of visits),Biodiversity - proxy (0–14 | number of BAP species); Carbon - data (3.6–76 | kg C/m^2); Carbon - proxy (7.6–39 | kg C/m^2); Recreation - data (0.04–1.8 | average number of visits); Recreation - land cover alone (0–1.6 | average number of visits); Recreation - land cover + population + access (0–1.8 | average number of visits),Biodiversity - data & Biodiversity - proxy: rho = 0.37; Biodiversity - data & Carbon - data: rho = -0.19; Biodiversity - data & Carbon - proxy: rho = -0.23; Biodiversity - data & Recreation - data: rho = 0.18; Biodiversity - data & Recreation - land cover alone: rho = -0.13; Biodiversity - data & Recreation - land cover + population + access: rho = 0.26; Biodiversity - proxy & Carbon - data: rho = -0.36; Biodiversity - proxy & Carbon - proxy: rho = -0.62; Biodiversity - proxy & Recreation - data: rho = -0.02; Biodiversity - proxy & Recreation - land cover alone: rho = -0.12; Biodiversity - proxy & Recreation - land cover + population + access: rho = 0.08; Carbon - data & Carbon - proxy: rho = 0.57; Carbon - data & Recreation - data: rho = -0.19; Carbon - data & Recreation - land cover alone: rho = -0.24; Carbon - data & Recreation - land cover + population + access: rho = -0.33; Carbon - proxy & Recreation - data: rho = -0.15; Carbon - proxy & Recreation - land cover alone: rho = -0.15; Carbon - proxy & Recreation - land cover + population + access: rho = -0.32; Recreation - data & Recreation - land cover alone: rho = 0.42; Recreation - data & Recreation - land cover + population + access: rho = 0.50; Recreation - land cover alone & Recreation - land cover + population + access: rho = 0.81
10.1890/13-2014.1,"Ecosystem services from a degraded peatland of Central Kalimantan: implications for policy, planning, and management","Hexagonal grid cells in the Ex-Mega Rice Project (EMRP) area, Central Kalimantan, Indonesia (100 ha per cell)",1000,"Central Kalimantan, Indonesia",Spearman rank correlation (ρ),"Carbon stocks (380–1100 | Mg C/ha); Timber (0–2300 | 40-yr NPV, US$/ha); Smallholder agriculture (0–900 | US$·ha^-1·yr^-1)","Timber (0–2300 | 40-yr NPV, US$/ha); Biodiversity (0–830 | selection frequency); Palm oil (0–4600 | 25-yr NPV, US$/ha)",Carbon stocks & Timber: ρ=0.36; Timber & Biodiversity: ρ=0.35; Smallholder agriculture & Palm oil: ρ=0.55
10.1016/j.scitotenv.2018.04.046,Ecosystem services trade-offs and determinants in China's Yangtze River Economic Belt from 2000 to 2015,"Grid squares (1×1 km) and prefectural cities in the Yangtze River Economic Belt, China",131,"Yangtze River Economic Belt, China",Spearman rank correlation (r),Water conservation (0–1000 | mm); Soil retention (<500–15000 | tons ha^−1 a^−1 ); Carbon sequestration (0–1000 | g/m^2 ⋅a); Biodiversity conservation (0–1.0 | habitat quality index); Food supply (0–1000 | t/km^2),Water conservation (0–1000 | mm); Soil retention (<500–15000 | tons ha^−1 a^−1 ); Carbon sequestration (0–1000 | g/m^2 ⋅a); Biodiversity conservation (0–1.0 | habitat quality index); Food supply (0–1000 | t/km^2),Water conservation & Soil retention: r=0.780; Water conservation & Carbon sequestration: r=−0.058; Water conservation & Biodiversity conservation: r=−0.345; Water conservation & Food supply: r=−0.105; Soil retention & Carbon sequestration: r=0.141; Soil retention & Biodiversity conservation: r=−0.086; Soil retention & Food supply: r=−0.097; Carbon sequestration & Biodiversity conservation: r=0.513; Carbon sequestration & Food supply: r=0.102; Biodiversity conservation & Food supply: r=0.235
10.1002/eap.1749,The positive carbon stocks–biodiversity relationship in forests: co-occurrence and drivers across five subclimates,Grid cells (10×10 km) up-scaled from National Forest Inventories and Breeding Bird Atlases,8058,"Peninsular Spain, Europe; Quebec, Canada",Pearson correlation (r),Tree carbon stocks (<20–>95 | Mg C/cell ha),Bird richness (<20–>60 | number of species); Tree richness (<2.0–>6.5 | number of species per plot); Overall biodiversity (<0.6–>1.4 | unitless index),Tree carbon stocks & Bird richness (Spain): r = 0.53; Tree carbon stocks & Tree richness (Spain): r = 0.47; Tree carbon stocks & Overall biodiversity (Spain): r = 0.59; Tree carbon stocks & Bird richness (Quebec): r = 0.14; Tree carbon stocks & Tree richness (Quebec): r = 0.53; Tree carbon stocks & Overall biodiversity (Quebec): r = 0.29; Tree carbon stocks & Bird richness (Steppe): r = 0.47; Tree carbon stocks & Tree richness (Steppe): r = 0.34; Tree carbon stocks & Overall biodiversity (Steppe): r = 0.52; Tree carbon stocks & Bird richness (Dry Mediterranean): r = 0.41; Tree carbon stocks & Tree richness (Dry Mediterranean): r = 0.25; Tree carbon stocks & Overall biodiversity (Dry Mediterranean): r = 0.41; Tree carbon stocks & Bird richness (Humid Mediterranean): r = 0.36; Tree carbon stocks & Tree richness (Humid Mediterranean): r = 0.46; Tree carbon stocks & Overall biodiversity (Humid Mediterranean): r = 0.51; Tree carbon stocks & Bird richness (Temperate): r = 0.08; Tree carbon stocks & Tree richness (Temperate): r = 0.42; Tree carbon stocks & Overall biodiversity (Temperate): r = 0.23; Tree carbon stocks & Bird richness (Boreal): r = 0.24; Tree carbon stocks & Tree richness (Boreal): r = 0.59; Tree carbon stocks & Overall biodiversity (Boreal): r = 0.50
10.1111/cobi.12500,"Spatial patterns of carbon, biodiversity, deforestation threat, and REDD+ projects in Indonesia",Grid cells (5 km×5 km) clipped to the terrestrial land areas of the Indonesian Archipelago,"79,555","Indonesia (National scale and subnational islands: Kalimantan, Sumatra, Java, Papua, Sulawesi)",Spearman rank correlation (r_s​),Organic carbon stock (38–1285 | t CO 2​/ha),Total vertebrate richness (1–661 | number of species); Threatened vertebrate richness (1–62 | number of species); Restricted range vertebrate richness (1–38 | number of species); Total species richness + plants (164–1278 | number of species),Organic carbon stock & Total vertebrate richness (Kalimantan): r_s​=0.14; Organic carbon stock & Total vertebrate richness (Sumatra): r_s​=0.01; Organic carbon stock & Total vertebrate richness (Java): r_s​=0.23; Organic carbon stock & Total vertebrate richness (Papua): r_s​​=0.00; Organic carbon stock & Total vertebrate richness (Sulawesi): r_s​​=0.22; Organic carbon stock & Total vertebrate richness (Indonesia): r_s​​=−0.06; Organic carbon stock & Threatened vertebrate richness (Kalimantan): r_s​=0.04; Organic carbon stock & Threatened vertebrate richness (Sumatra): r_s​=0.14; Organic carbon stock & Threatened vertebrate richness (Java): r_s​​=0.29; Organic carbon stock & Threatened vertebrate richness (Papua): r_s​​=−0.13; Organic carbon stock & Threatened vertebrate richness (Sulawesi): r_s​​=0.31; Organic carbon stock & Threatened vertebrate richness (Indonesia): r_s​​=−0.08; Organic carbon stock & Restricted range vertebrate richness (Kalimantan): r_s​​=−0.08; Organic carbon stock & Restricted range vertebrate richness (Sumatra): r_s​​=0.34; Organic carbon stock & Restricted range vertebrate richness (Java): r_s​=0.61; Organic carbon stock & Restricted range vertebrate richness (Papua): r_s​​=−0.22; Organic carbon stock & Restricted range vertebrate richness (Sulawesi): r_s​​=0.42; Organic carbon stock & Restricted range vertebrate richness (Indonesia): r_s​=−0.06; Organic carbon stock & Total species richness + plants (Kalimantan): r_s​=−0.306; Organic carbon stock & Total species richness + plants (Sumatra): r_s​=−0.516; Organic carbon stock & Total species richness + plants (Java): r_s​=0.244
10.1016/j.biocon.2015.10.014,National and regional relationships of carbon storage and tropical biodiversity,Grid cells (10×10 km) covering the terrestrial area of Colombia,9759,"Colombia (including Amazon, Andes, Caribbean, Orinoco, and Pacific regions)",Pearson's correlation (r); general linear models (Estimate),"Carbon storage (0–1,500,000 | TnC/km^2); Rural density (not reported | people/km^2); Pasture area (not reported | km^2); Agricultural area (not reported | km^2); Roads (not reported | unitless); Forest area (not reported | km^2); Deforestation rate (not reported | unitless); Temperature (not reported | °C); Altitude (0–2087 | m); Precipitation (1400–2000 | mm)","Carbon storage (0–1,500,000 | TnC/km^2); All groups (not reported | number of species); Amphibians (2–140 | number of species); Birds (251–800 | number of species); Mammals (122–200 | number of species)",Carbon storage & All groups (Colombia): r = 0.54; Carbon storage & All groups (Andes): r = 0.28; Carbon storage & All groups (Caribbean): r = 0.52; Carbon storage & All groups (Orinoquia): r = 0.31; Carbon storage & Amphibians (Colombia): r = 0.67; Carbon storage & Amphibians (Andes): r = 0.36; Carbon storage & Amphibians (Caribbean): r = 0.32; Carbon storage & Amphibians (Orinoquia): r = 0.24; Carbon storage & Amphibians (Pacific): r = 0.27; Carbon storage & Amphibians (Amazon): r = 0.22; Carbon storage & Birds (Colombia): r = 0.43; Carbon storage & Birds (Andes): r = 0.25; Carbon storage & Birds (Caribbean): r = 0.54; Carbon storage & Birds (Orinoquia): r = 0.30; Carbon storage & Birds (Amazon): r = -0.05; Carbon storage & Mammals (Colombia): r = 0.50; Carbon storage & Mammals (Andes): r = 0.22; Carbon storage & Mammals (Caribbean): r = 0.22; Carbon storage & Mammals (Orinoquia): r = 0.33; Carbon storage & Mammals (Amazon): r = -0.06; Rural density & Carbon storage (Colombia; GLM): Estimate = -0.297; Pasture area & Carbon storage (Colombia; GLM): Estimate = 0.001; Agricultural area & Carbon storage (Colombia; GLM): Estimate = -0.001; Roads & Carbon storage (Colombia; GLM): Estimate = -0.000; Forest area & Carbon storage (Colombia; GLM): Estimate = 0.120; Deforestation rate & Carbon storage (Colombia; GLM): Estimate = -0.007; Temperature & Carbon storage (Colombia; GLM): Estimate = 0.001; Rural density & All groups (Colombia; GLM): Estimate = 0.303; Pasture area & All groups (Colombia; GLM): Estimate = 0.001; Roads & All groups (Colombia; GLM): Estimate = -0.000; Forest area & All groups (Colombia; GLM): Estimate = 0.059; Deforestation rate & All groups (Colombia; GLM): Estimate = -0.008; Temperature & All groups (Colombia; GLM): Estimate = -0.019; Altitude & All groups (Colombia; GLM): Estimate = -0.000; Precipitation & All groups (Colombia; GLM): Estimate = -0.000
10.1111/j.1755-263X.2009.00092.x,Global congruence of carbon storage and biodiversity in terrestrial ecosystems,"Hexagonal grid cells throughout the globe (individual units are ∼ 12,500 km^2 each, geodesic discrete global grid system)",15018,Global (Terrestrial ecosystems),Spearman rank correlations (r_s​),Biomass C (estimates of above and below-ground biomass) (0.0–217.4 | t/ha),Richness Index (number of species per cell) (0–1367 | number of species); Threatened Index (number of threatened species per cell) (0–94 | number of species); Restricted range index (number of restricted-range species per cell) (0–117 | number of species),Biomass C & Richness Index: r_s = 0.82; Biomass C & Threatened Index: r_s = 0.55; Biomass C & Restricted range index: r_s = 0.42; Biomass C & Richness index (Amphibians): r_s = 0.84; Biomass C & Threatened Index (Amphibians): r_s = 0.37; Biomass C & Restricted range index (Amphibians): r_s = 0.24; Biomass C & Richness index (Birds): r_s = 0.80; Biomass C & Threatened Index (Birds): r_s = 0.43; Biomass C & Restricted range index (Birds): r_s = 0.38; Biomass C & Richness index (Mammals): r_s = 0.79; Biomass C & Threatened Index (Mammals): r_s = 0.52; Biomass C & Restricted range index (Mammals): r_s = 0.31
10.1016/j.ecocom.2011.01.007,Spatial characteristics between biodiversity and ecosystem services in a human-dominated watershed,"Planning units (15,050 sub-watershed areas extracted from a DEM) within the Baiyangdian watershed",15050,"Baiyangdian watershed, China",Pearson’s correlation (r),Biodiversity (not reported | habitat quality as a proxy for biodiversity); Carbon sequestration (not reported | estimate the amount of carbon sequestered each year); Nitrogen retention (not reported | pollutant removal service evaluation focused on nitrogen); Phosphorus retention (not reported | pollutant removal service evaluation focused on phosphorus); Pollination (not reported | index of bee abundance); Soil retention (not reported | capacity of a land parcel to retain sediment),Carbon sequestration (not reported | estimate the amount of carbon sequestered each year); Nitrogen retention (not reported | pollutant removal service evaluation focused on nitrogen); Phosphorus retention (not reported | pollutant removal service evaluation focused on phosphorus); Pollination (not reported | index of bee abundance); Soil retention (not reported | capacity of a land parcel to retain sediment); Water yield (not reported | annual average quantity),Biodiversity & Carbon sequestration: r = 0.554; Biodiversity & Nitrogen retention: r = -0.206; Biodiversity & Phosphorus retention: r = -0.237; Biodiversity & Pollination: r = -0.256; Biodiversity & Soil retention: r = 0.813; Biodiversity & Water yield: r = 0.535; Carbon sequestration & Nitrogen retention: r = -0.087; Carbon sequestration & Phosphorus retention: r = -0.112; Carbon sequestration & Pollination: r = -0.062; Carbon sequestration & Soil retention: r = 0.668; Carbon sequestration & Water yield: r = 0.288; Nitrogen retention & Phosphorus retention: r = 0.93; Nitrogen retention & Pollination: r = 0.896; Nitrogen retention & Soil retention: r = -0.195; Nitrogen retention & Water yield: r = 0.501; Phosphorus retention & Pollination: r = 0.905; Phosphorus retention & Soil retention: r = -0.226; Phosphorus retention & Water yield: r = 0.506; Pollination & Soil retention: r = -0.237; Pollination & Water yield: r = 0.541; Soil retention & Water yield: r = 0.494
10.1371/journal.pone.0154573,Ecosystem Services Modeling as a Tool for Defining Priority Areas for Conservation,"Randomly selected pixels within the Iron Quadrangle, Brazil",10000,"Iron Quadrangle, Brazil",Pearson's correlation (r); Standardized regression coefficient (SRC),Carbon stock (0–256 | tons of carbon/ha); Habitat quality (0–1 | habitat quality index); eucalyptus (not reported | land use class); pasture (not reported | land use class); mining (not reported | land use class); urban (not reported | land use class); roads (not reported | land use class); agriculture (not reported | land use class); accessibility (0.5–1 | dimensionless); aboveground biomass (not reported | Mg ha⁻¹); soil organic carbon (not reported | Mg ha⁻¹); belowground biomass (not reported | Mg ha⁻¹); dead organic carbon (not reported | Mg ha⁻¹); topographic factor (not reported | dimensionless); soil erodibility (not reported | ton/MJ/ha/(mm/h)); sediment filtration (not reported | dimensionless); cover-management and support practice factors (not reported | dimensionless); rainfall erosivity (not reported | MJ/ha/(mm/h)),Habitat quality (0–1 | habitat quality index); Sediment retention (0–62 | tons/ha/year); Carbon stock (0–256 | tons of carbon/ha),Carbon stock & Habitat quality: r = 0.55; Carbon stock & Sediment retention: r = -0.07; Habitat quality & Sediment retention: r = 0.10; eucalyptus & Habitat quality: SRC = -0.31; pasture & Habitat quality: SRC = -0.44; mining & Habitat quality: SRC = -0.25; urban & Habitat quality: SRC = -0.37; roads & Habitat quality: SRC = -0.09; agriculture & Habitat quality: SRC = -0.02; accessibility & Habitat quality: SRC = -0.06; aboveground biomass & Carbon stock: SRC = 0.72; soil organic carbon & Carbon stock: SRC = 0.34; belowground biomass & Carbon stock: SRC = 0.11; dead organic carbon & Carbon stock: SRC = 0.02; topographic factor & Sediment retention: SRC = 0.3; soil erodibility & Sediment retention: SRC = 0.2; sediment filtration & Sediment retention: SRC = 0.17; cover-management and support practice factors & Sediment retention: SRC = 0.11; rainfall erosivity & Sediment retention: SRC = 0.03
