DOI,Paper Title,Study Population / Unit of Analysis,Total Sample Size,Geographical Setting (n),Association Test Method,Independent Variable Unit,Dependent Variable Unit,Effect Size (Correlation/P-value)
10.1016/S0278-4319(02)00027-0,Prediction of pollutant emission through electricity consumption by the hotel industry in Hong Kong,"17 hotels (8 three-star, 6 four-star, 3 five-star)",17,Hong Kong,Linear regression analysis (Correlation coefficient R); Linear regression analysis (R^2); Generalized correlation coefficient (r),"gross floor area (6,066-61,500 | m 2 ); number of occupied rooms (not reported | not reported)",annual electricity consumption (2.6-14.5 | GWh); normalized performance indicator (216.84-718.63 | kWh/m^2/year),gross floor area & annual electricity consumption (1994): Correlation coefficient R = 0.949; gross floor area & annual electricity consumption (1994): R^2 = 0.901; gross floor area & annual electricity consumption (1995): Correlation coefficient R = 0.935; gross floor area & annual electricity consumption (1995): R^2 = 0.874; gross floor area & annual electricity consumption (1996): Correlation coefficient R = 0.924; gross floor area & annual electricity consumption (1996): R^2 = 0.854; gross floor area & annual electricity consumption (1994-1996): Correlation coefficient R = 0.935; gross floor area & annual electricity consumption (1994-1996): R^2 = 0.874; number of occupied rooms & annual electricity consumption (1994): Correlation coefficient R = 0.761; number of occupied rooms & annual electricity consumption (1994): R^2 = 0.579; number of occupied rooms & annual electricity consumption (1995): Correlation coefficient R = 0.75; number of occupied rooms & annual electricity consumption (1995): R^2 = 0.563; number of occupied rooms & annual electricity consumption (1996): Correlation coefficient R = 0.819; number of occupied rooms & annual electricity consumption (1996): R^2 = 0.671; number of occupied rooms & annual electricity consumption (1994-1996): Correlation coefficient R = 0.778; number of occupied rooms & annual electricity consumption (1994-1996): R^2 = 0.605; gross floor area & normalized performance indicator (generalized): r = -0.372
10.1080/09669580208667153,A Study on Pollutant Emission Through Gas Consumption in the Hong Kong Hotel Industry,"11 hotels (5 three-star, 4 four-star, 2 five-star)",11,Hong Kong,Linear regression method (Correlation coefficient R); Linear regression method (R^2); generalised correlation coefficient (generalised),"gross floor area (6,066 - 61,500 | m^2) ; number of occupied rooms (163 - 736 | room nights) ; heating degree days (not reported | day)",annual gas consumption (not reported | TJ/year) ; normalised performance indicator (108.06-582.21 | MJ/m^2 per year),gross floor area & annual gas consumption: Correlation coefficient R = 0.919; gross floor area & annual gas consumption: R^2 = 0.845; number of occupied rooms & annual gas consumption: Correlation coefficient R = 0.516; heating degree days & annual gas consumption: Correlation coefficient R = 0.033; gross floor area & normalised performance indicator: generalised = 0.637
10.1016/S0378-7788(02)00238-4,Energy and water uses and their performance explanatory indicators in hotels in Hong Kong,36 quality hotels (with a rating of three or more stars),36,Hong Kong,Least square regression analysis (R^2),gross floor area (not reported | m^2) ; total number of guestrooms (not reported | Room) ; total number of guests (not reported | Guest) ; total number of food covers (not reported | FC) ; Guest x FC (not reported | not applicable) ; m^2 x Guest (not reported | not applicable) ; m^2 x FC (not reported | not applicable) ; m^2 x Guest x FC (not reported | not applicable) ; m^2 x Room (not reported | not applicable),water consumption (not reported | m^3) ; total electricity use (not reported | GJ) ; total gas use (not reported | GJ) ; diesel use (not reported | GJ),gross floor area & water consumption (22 hotels with laundry): R^2 = 0.313 ; total number of guests & water consumption (22 hotels with laundry): R^2 = 0.372 ; total number of food covers & water consumption (22 hotels with laundry): R^2 = 0.488 ; Guest x FC & water consumption (22 hotels with laundry): R^2 = 0.556 ; m^2 x Guest & water consumption (22 hotels with laundry): R^2 = 0.431 ; m^2 x FC & water consumption (22 hotels with laundry): R^2 = 0.444 ; m^2 x Guest x FC & water consumption (22 hotels with laundry): R^2 = 0.484 ; gross floor area & water consumption (14 hotels without laundry): R^2 = 0.657 ; total number of guests & water consumption (14 hotels without laundry): R^2 = 0.727 ; total number of food covers & water consumption (14 hotels without laundry): R^2 = 0.767 ; Guest x FC & water consumption (14 hotels without laundry): R^2 = 0.954 ; m^2 x Guest & water consumption (14 hotels without laundry): R^2 = 0.902 ; m^2 x FC & water consumption (14 hotels without laundry): R^2 = 0.707 ; m^2 x Guest x FC & water consumption (14 hotels without laundry): R^2 = 0.951 ; gross floor area & total gas use (Nine hotels with gas boilers): R^2 = 0.865 ; total number of guests & total gas use (Nine hotels with gas boilers): R^2 = 0.561 ; total number of food covers & total gas use (Nine hotels with gas boilers): R^2 = 0.176 ; Guest x FC & total gas use (Nine hotels with gas boilers): R^2 = 0.332 ; m^2 x Guest & total gas use (Nine hotels with gas boilers): R^2 = 0.751 ; m^2 x FC & total gas use (Nine hotels with gas boilers): R^2 = 0.500 ; m^2 x Guest x FC & total gas use (Nine hotels with gas boilers): R^2 = 0.472 ; gross floor area & total gas use (27 hotels with non-gas boilers): R^2 = 0.381 ; total number of guests & total gas use (27 hotels with non-gas boilers): R^2 = 0.013 ; total number of food covers & total gas use (27 hotels with non-gas boilers): R^2 = 0.419 ; Guest x FC & total gas use (27 hotels with non-gas boilers): R^2 = 0.228 ; m^2 x Guest & total gas use (27 hotels with non-gas boilers): R^2 = 0.175 ; m^2 x FC & total gas use (27 hotels with non-gas boilers): R^2 = 0.355 ; m^2 x Guest x FC & total gas use (27 hotels with non-gas boilers): R^2 = 0.220 ; gross floor area & diesel use: R^2 = 0.796 ; total number of guests & diesel use: R^2 = 0.185 ; total number of food covers & diesel use: R^2 = 0.158 ; Guest x FC & diesel use: R^2 = 0.148 ; m^2 x Guest & diesel use: R^2 = 0.480 ; m^2 x FC & diesel use: R^2 = 0.410 ; m^2 x Guest x FC & diesel use: R^2 = 0.261 ; gross floor area & total electricity use (Six hotels with electrical water heating): R^2 = 0.870 ; total number of guestrooms & total electricity use (Six hotels with electrical water heating): R^2 = 0.746 ; total number of guests & total electricity use (Six hotels with electrical water heating): R^2 = 0.513 ; m^2 x Room & total electricity use (Six hotels with electrical water heating): R^2 = 0.902 ; m^2 x Guest & total electricity use (Six hotels with electrical water heating): R^2 = 0.832 ; gross floor area & total electricity use (30 hotels without electrical water heating): R^2 = 0.655 ; total number of guestrooms & total electricity use (30 hotels without electrical water heating): R^2 = 0.059 ; total number of guests & total electricity use (30 hotels without electrical water heating): R^2 = 0.054 ; m^2 x Room & total electricity use (30 hotels without electrical water heating): R^2 = 0.350 ; m^2 x Guest & total electricity use (30 hotels without electrical water heating): R^2 = 0.290
10.1080/09669580408667242,An Estimation of the Environmental Impact of Diesel Oil Usage in Hong Kong Hotels,"10 hotels (1 three-star, 7 four-star, 2 five-star)",10,Hong Kong,Linear regression method (Correlation coefficient R); Linear regression method (R^2),"gross floor area (11,285 - 61,500 | m^2)",annual diesel oil consumption (1063 to 1458 | TJ),gross floor area & annual diesel oil consumption: Correlation coefficient R = 0.950; gross floor area & annual diesel oil consumption: R^2 = 0.899
10.1016/j.enbuild.2009.07.028,A study on energy performance of hotel buildings in Singapore,29 quality hotels,29,Singapore,Linear regression models (linear R^2); Exponential regression model (exponential R^2); Pearson correlations (Pearson correlation r); Simple linear regression model (simple R^2),"gross floor area (1648 - 101,998 | m^2); number of guest rooms (32 - 1200 | room); number of room-nights per year (not reported | room-nights); number of workers on main shift (not reported | worker); number of occupied rooms per month (not reported | room); area for dining facilities (242 - 6574 | m^2); worker density (not reported | workers per 1000 m^2 of GFA); monthly mean outdoor temperature (never falls below 26 | °C); number of floors (4 to 50 | floor); area of a standard guest room (not reported | m^2); building age (not reported | year); number of years after the last major retrofit (not reported | year); yearly occupancy rate (66 - 88 | %); percent of GFA for dining facilities (1.3 - 6.4 | %); percent of GFA for convention centers and offices (not reported | %); percent of GFA for retail shops (not reported | %); diesel boiler used (not applicable | not applicable); district cooling system used (not applicable | not applicable); building management system used (not applicable | not applicable); energy audit performed in the last 5 years (not applicable | not applicable); presence of laundry facilities (not applicable | not applicable); five-star hotel (not applicable | not applicable); four-star hotel (not applicable | not applicable); three-star hotel (not applicable | not applicable)","electricity consumption (378,741 - 31,851,977 | kWh); fossil fuel energy (not reported | kWh); total energy (not reported | kWh); energy use intensity (264.713 - 592.326 | kWh/m^2); gas consumption (not reported | not reported); monthly electricity consumption (615 - 812 | MWh); monthly mean daily electricity consumption (28,660 - 33,200 | kWh)",gross floor area & electricity consumption: linear R^2 = 0.86; gross floor area & fossil fuel energy: linear R^2 = 0.73; gross floor area & total energy: linear R^2 = 0.90; number of guest rooms & electricity consumption: linear R^2 = 0.72; number of guest rooms & fossil fuel energy: linear R^2 = 0.53; number of guest rooms & total energy: linear R^2 = 0.72; number of room-nights per year & electricity consumption: linear R^2 = 0.71; number of room-nights per year & fossil fuel energy: linear R^2 = 0.48; number of room-nights per year & total energy: linear R^2 = 0.70; number of workers on main shift & electricity consumption: linear R^2 = 0.81; number of workers on main shift & fossil fuel energy: linear R^2 = 0.70; number of workers on main shift & total energy: linear R^2 = 0.85; area for dining facilities & gas consumption: linear R^2 = 0.55; number of occupied rooms per month & monthly electricity consumption: exponential R^2 = 0.5819; gross floor area & energy use intensity: Pearson correlation r = 0.165; number of floors & energy use intensity: Pearson correlation r = 0.437; number of guest rooms & energy use intensity: Pearson correlation r = 0.298; gross floor area per guest room & energy use intensity: Pearson correlation r = -0.003; area of a standard guest room & energy use intensity: Pearson correlation r = 0.430; building age & energy use intensity: Pearson correlation r = -0.205; number of years after the last major retrofit & energy use intensity: Pearson correlation r = 0.529; number of workers on the main shift & energy use intensity: Pearson correlation r = 0.473; yearly occupancy rate & energy use intensity: Pearson correlation r = 0.254; percent of GFA for dining facilities & energy use intensity: Pearson correlation r = 0.017; percent of GFA for convention centers and offices & energy use intensity: Pearson correlation r = -0.004; percent of GFA for retail shops & energy use intensity: Pearson correlation r = -0.268; diesel boiler used & energy use intensity: Pearson correlation r = 0.217; district cooling system used & energy use intensity: Pearson correlation r = 0.217; building management system used & energy use intensity: Pearson correlation r = 0.309; worker density & energy use intensity: Pearson correlation r = 0.669; energy audit performed in the last 5 years & energy use intensity: Pearson correlation r = 0.367; presence of laundry facilities & energy use intensity: Pearson correlation r = 0.366; five-star hotel & energy use intensity: Pearson correlation r = 0.354; four-star hotel & energy use intensity: Pearson correlation r = 0.166; three-star hotel & energy use intensity: Pearson correlation r = -0.673; worker density & energy use intensity: simple R^2 = 0.4471; monthly mean outdoor temperature & monthly mean daily electricity consumption (individual baseline models range): simple R^2 = 0.34 to 0.68; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 12): simple R^2 = 0.68; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 13): simple R^2 = 0.44; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 15): simple R^2 = 0.42; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 5): simple R^2 = 0.59; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 8): simple R^2 = 0.49; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 18): simple R^2 = 0.41; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel 19): simple R^2 = 0.58; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel H): simple R^2 = 0.53; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel I): simple R^2 = 0.64; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel J): simple R^2 = 0.67; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel K): simple R^2 = 0.36; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel L): simple R^2 = 0.48; monthly mean outdoor temperature & monthly mean daily electricity consumption (Hotel M): simple R^2 = 0.34; monthly mean outdoor temperature & monthly mean daily electricity consumption (Fig 5 overall): simple R^2 = 0.6783
10.3390/su15118595,Correlations between Hotel Size and Gas Consumption with a Feasibility Analysis of a Fuel Switch—A Coastal Case Study Croatia Adriatic,Hotels on Croatian Adriatic coast,51,"Adriatic coast, Croatia",Linear regression (R^2),total floor area (not reported | m^2) ; number of rooms (not reported | room),annual gas consumption (not reported | kWh); annual gas consumption in kWh/m^2 (not reported | kWh/m^2); annual LPG consumption (not reported | kWh),total floor area & annual gas consumption (non-seasonal hotels): R^2 = 0.7243; number of rooms & annual gas consumption (non-seasonal hotels): R^2 = 0.4458; number of rooms & annual gas consumption in kWh/m 2 (non-seasonal hotels): R^2 = 0.3396; number of rooms & annual LPG consumption (non-seasonal hotels): R^2 = 0.1258; total floor area & annual LPG consumption (non-seasonal hotels): R^2 = 0.0911
10.1093/ijlct/ctab048,Energy use in hotels: a case study in Gran Canaria,six different hotels and apartments belonging to the same company,6,"Gran Canaria, Spain",Pearson correlations (r); Multiple variable regression analysis (adjusted R^2),"Cold water temperature (not reported | °C); Star-rating (2 to 4 | star); No. of rooms (97 to 511 | room); No. of floors (4 to 21 | floor); Years from last retrofit (6 to 40 | year); GFA (3771 to 25,316 | m^2); Pools (volume) (not reported | m^3); Pools (area) (153.58 to 1004.62 | m^2); Pools (temperature) (30 to 35 | °C); Aircon (not applicable | not applicable); Spa (not applicable | not applicable); Kitchenette in room (not applicable | not applicable); Travelife certified (not applicable | not applicable); Renewable energy (not reported | kWh); No. of meals served per day (not reported | meals); ADR (47.60 to 111.71 | €); Occupancy (74.99 to 83.94 | %); Mean no. of guests per occupied room (1.93 to 2.42 | guests per occupied room); RevPar (38.77 to 91.84 | €); GRI (80.27 to 87.40 | %); No. of workers (15 to 223 | worker); No. of pax (58,329 to 358,979 | overnight stay); No. of adult guests (58,331 to 312,136 | guest); No. of children's guests (0 to 53,634 | guest); No. of diners (0 to 354,526 | diner); No. of repairs (1657 to 10,842 | repair); Cost of repairs (not reported | €); Water consumption (11,530 to 71,484 | m^3); Refrigerants reposition (0 to 44.5 | kg); Recycled kitchen oil (0 to 6990 | kg); Recycled cardboard (0 to 30,880 | kg)",total energy demand (not reported | kWh); Energy demand (not reported | kWh),Cold water temperature & total energy demand: r = -0.332; Star-rating & total energy demand: r = 0.397; No. of rooms & total energy demand: r = 0.794; No. of floors & total energy demand: r = -0.291; Years from last retrofit & total energy demand: r = -0.290; GFA & total energy demand: r = 0.854; Pools (volume) & total energy demand: r = 0.650; Pools (area) & total energy demand: r = 0.754; Pools (temperature) & total energy demand: r = -0.399; Aircon & total energy demand: r = 0.526; Spa & total energy demand: r = -0.289; Kitchenette in room & total energy demand: r = -0.559; Travelife certified & total energy demand: r = 0.041; Renewable energy (kWh) & total energy demand: r = -0.267; No. of meals served per day & total energy demand: r = 0.869; ADR & total energy demand: r = 0.607; Occupancy & total energy demand: r = 0.392; Mean no. of guests per occupied room & total energy demand: r = 0.535; RevPar & total energy demand: r = 0.635; GRI & total energy demand: r = -0.153; No. of workers & total energy demand: r = 0.794; No. of pax & total energy demand: r = 0.921; No. of adult guests & total energy demand: r = 0.913; No. of children's guests & total energy demand: r = 0.814; No. of diners & total energy demand: r = 0.947; No. of repairs & total energy demand: r = 0.872; Cost of repairs & total energy demand: r = 0.676; Water consumption & total energy demand: r = 0.940; Refrigerants reposition & total energy demand: r = 0.405; Recycled kitchen oil & total energy demand: r = 0.839; Recycled cardboard & total energy demand: r = 0.812; RevPar; No. of diners; Pools (volume); Mean no. of guests per occupied room & Energy demand: adjusted R^2 = 0.983
10.3992/1943-4618.14.3.3,Developing an Energy Benchmarking System for Hotel Buildings Using the Statistical Method and the Simulation-Based Approach,"50 hotels (10 1-star, 6 2-star, 21 3-star, 8 4-star, 5 5-star)",50,"Danang, Vietnam",Correlation analysis (correlation R^2); Regression curve (curve R^2); Linear regression method (regression R^2),"annual occupancy rate (not reported | %); Energy use intensity (20 - 200 | kWh/m^2.year); Total floor area (346 - 114,970 | m^2); simulated monthly energy consumption (not reported | not reported)","Energy use intensity (20 to 200 | kWh/m^2.year); Actual frequency distribution (not reported | %); Annual total energy consumption (17,919 to 22,887,529 | kWh) ; observed monthly energy consumption (not reported | not reported)",annual occupancy rate & Energy use intensity: correlation R^2 = 0.00; Energy use intensity & Actual frequency distribution: curve R^2 = 0.99; Total floor area & Annual total energy consumption (1-star and 2-star hotels): regression R^2 = 0.81; Total floor area & Annual total energy consumption (3-star hotels): regression R^2 = 0.64; Total floor area & Annual total energy consumption (4-star hotels): regression R^2 = 0.51; Total floor area & Annual total energy consumption (5-star hotels): regression R^2 = 0.97; Total floor area & Annual total energy consumption (all hotels except 5-star): regression R^2 = 0.78 ; simulated monthly energy consumption & observed monthly energy consumption: regression R^2 = 0.84
10.1016/j.enbuild.2016.02.046,"Assessment of energy consumption and carbon footprint from the hotel sector within Lagos, Nigeria",28 hotels with star ratings ranging from 2- to 5-star,28,"Lagos, Nigeria",linear regression method (R^2); Pearson correlation (r),"Total floor area (1020.00 - 64464.00 | m^2); Age (1 - 72 | year); Number of guest rooms (10 - 654 | room); Occupancy rate (40.00 - 100.00 | %); Number of equivalent guest rooms (10.00 - 412.75 | room); Number of employees (8 - 1475 | employee); Energy consumption per unit area (27.285 - 645.372 | kWh/m^2/year); Energy consumption per unit guestroom (4.652 - 345.190 | MWh/room/year); Energy consumption per unit equivalent guestroom (4.652 - 460.253 | MWh/room/year); Energy consumption per unit employee (3.393 - 73,640 | MWh/employee/year)","Annual energy consumption (46.52 - 26400.26 | MWh); Energy consumption per unit area (27.285 - 645.372 | kWh/m^2/year); Energy consumption per unit guestroom (4.652 - 345.190 | MWh/room/year); Energy consumption per unit equivalent guestroom (4.652 - 460.253 | MWh/room/year); Energy consumption per unit employee (3.393 - 73,640 | MWh/employee/year); CO2 ​emission (8779.93 - 55718702.48 | metric ton)",Total floor area & Annual energy consumption: Pearson r = 0.767; Total floor area & Annual energy consumption: R^2 = 0.588; Age & Annual energy consumption: Pearson r = 0.261; Age & Annual energy consumption: R^2 = 0.068; Number of guest rooms & Annual energy consumption: Pearson r = 0.694; Number of guest rooms & Annual energy consumption: R^2 = 0.482; Occupancy rate & Annual energy consumption: Pearson r = -0.129; Occupancy rate & Annual energy consumption: R^2 = 0.017; Number of equivalent guest rooms & Annual energy consumption: Pearson r = 0.662; Number of equivalent guest rooms & Annual energy consumption: R^2 = 0.438; Number of employees & Annual energy consumption: Pearson r = 0.758; Number of employees & Annual energy consumption: R^2 = 0.575; Total floor area & Energy consumption per unit area: Pearson r = -0.069; Age & Energy consumption per unit area: Pearson r = -0.039; Number of guest rooms & Energy consumption per unit area: Pearson r = 0.046; Occupancy rate & Energy consumption per unit area: Pearson r = 0.04; Number of equivalent guestrooms & Energy consumption per unit area: Pearson r = -0.051; Number of employees & Energy consumption per unit area: Pearson r = -0.016; Total floor area & Energy consumption per unit guestroom: Pearson r = 0.418; Age & Energy consumption per unit guestroom: Pearson r = -0.094; Number of guest rooms & Energy consumption per unit guestroom: Pearson r = 0.122; Occupancy rate & Energy consumption per unit guestroom: Pearson r = 0.007; Number of equivalent guestrooms & Energy consumption per unit guestroom: Pearson r = -0.123; Number of employees & Energy consumption per unit guestroom: Pearson r = 0.002; Total floor area & Energy consumption per unit equivalent guestroom: Pearson r = 0.352; Age & Energy consumption per unit equivalent guestroom: Pearson r = -0.084; Number of guest rooms & Energy consumption per unit equivalent guestroom: Pearson r = 0.117; Occupancy rate & Energy consumption per unit equivalent guestroom: Pearson r = -0.178; Number of equivalent guestrooms & Energy consumption per unit equivalent guestroom: Pearson r = -0.143; Number of employees & Energy consumption per unit equivalent guestroom: Pearson r = 0.01; Total floor area & Energy consumption per unit employee: Pearson r = 0.296; Age & Energy consumption per unit employee: Pearson r = -0.154; Number of guest rooms & Energy consumption per unit employee: Pearson r = 0.175; Occupancy rate & Energy consumption per unit employee: Pearson r = -0.001; Number of equivalent guestrooms & Energy consumption per unit employee: Pearson r = -0.163; Number of employees & Energy consumption per unit employee: Pearson r = -0.178; Energy consumption per unit area & CO2 ​emission: Pearson r = 0.09; Energy consumption per unit guestroom & CO2 ​emission: Pearson r = 0.561; Energy consumption per unit equivalent guestroom & CO2 ​emission: Pearson r = 0.549; Energy consumption per unit employee & CO2 ​emission: Pearson r = 0.394
10.1016/j.ijhosman.2016.04.011,Energy use and maintenance costs of upmarket hotels,30 upmarket hotels in Hong Kong,30,Hong Kong,Linear regression (regression R^2); Pearson product-moment correlation (Pearson r),"Building age (2 - 39 | year); Floor area (14,975 - 72,062 | m^2); Guestroom (113 - 884 | nos.); Occupancy rate (65.0 - 94.0 | %); Repair and maintenance (normalized) (34.79 - 908.18 | HK$/m^2); Capital project (normalized) (22.88 - 1,446.20 | HK$/m^2); Maintenance staff (normalized) (79.45 - 287.15 | HK$/m^2); Total maintenance (normalized) (284.93 - 1,701.18 | HK$/m^2); Repair and maintenance (raw) (1,698,857 - 18,414,369 | HK$); Capital project (raw) (1,191,000 - 40,900,900 | HK$); Maintenance staff (raw) (2,469,018 - 12,000,000 | HK$); Total maintenance (raw) (6,674,146 - 48,022,900 | HK$)","Total energy consumption (raw) (4377 - 37,102 | MWh); Total energy consumption (normalized) (257.04 - 887.55 | kWh/m^2); Total maintenance cost (raw) (6,674,146 - 48,022,900 | HK$); Total maintenance cost (normalized) (284.93 - 1,701.18 | HK$/m^2)",Number of guestrooms & Total energy consumption: regression R^2 = 0.0692; Occupancy rate & Total energy consumption: regression R^2 = 0.1074; Gross floor area & Total energy consumption: regression R^2 = 0.3962; Building age & Total energy consumption (raw): Pearson r = 0.1051; Floor area & Total energy consumption (raw): Pearson r = 0.5530; Guestroom & Total energy consumption (raw): Pearson r = 0.1580; Occupancy & Total energy consumption (raw): Pearson r = -0.3903; Building age & Total energy consumption (normalized): Pearson r = -0.1488; Floor area & Total energy consumption (normalized): Pearson r = -0.1510; Guestroom & Total energy consumption (normalized): Pearson r = -0.1990; Occupancy & Total energy consumption (normalized): Pearson r = -0.3716; Building age & Total maintenance cost (raw): Pearson r = 0.3511; Floor area & Total maintenance cost (raw): Pearson r = 0.0810; Guestroom & Total maintenance cost (raw): Pearson r = 0.2168; Occupancy & Total maintenance cost (raw): Pearson r = -0.2404; Building age & Total maintenance cost (normalized): Pearson r = -0.0969; Floor area & Total maintenance cost (normalized): Pearson r = -0.6241; Guestroom & Total maintenance cost (normalized): Pearson r = -0.3847; Occupancy & Total maintenance cost (normalized): Pearson r = 0.1131; Repair and maintenance (normalized) & Total energy (normalized): Pearson r = 0.2262; Capital project (normalized) & Total energy (normalized): Pearson r = 0.1355; Maintenance staff (normalized) & Total energy (normalized): Pearson r = 0.3947; Total maintenance (normalized) & Total energy (normalized): Pearson r = 0.3103; Repair and maintenance (raw) & Total energy (raw): Pearson r = 0.4138; Capital project (raw) & Total energy (raw): Pearson r = -0.2280; Maintenance staff (raw) & Total energy (raw): Pearson r = 0.6244; Total maintenance (raw) & Total energy (raw): Pearson r = 0.1665; Total maintenance cost (normalized) & Total energy (normalized): regression R^2 = 0.0963; Maintenance staff cost (normalized) & Total energy (normalized): regression R^2 = 0.1558; Capital project cost (normalized) & Total energy (normalized): regression R^2 = 0.0183; Repair and maintenance cost (normalized) & Total energy (normalized): regression R^2 = 0.0511
