DOI,Paper Title,Study Population / Unit of Analysis,Total Sample Size,Geographical Setting (n),Association Test Method,Independent Variable Unit,Dependent Variable Unit,Effect Size (Correlation/P-value)
10.1016/j.agwat.2024.109174,A new 3D vision-based leaf rolling index (LRI) and its application as a stable indicator of cotton drought stress,potted cotton leaves,50,"stonefruit orchard (0.97 ha, 138 m × 70 m), Tatura, Victoria, Australia",Pearson correlations (r); linear fitting (R^2),leaf water potential (not applicable | MPa) ; relative water content (not applicable | %) ; stomatal conductance (not applicable | mol⋅m^−2 ⋅ s^−1 ) ; electron transport rate (not applicable | μmol⋅m^−2 ⋅ s^−1,leaf rolling index (not applicable | %),leaf water potential & leaf rolling index (Flowering stage): R^2 =0.7162; leaf water potential & leaf rolling index (Seedling stage): R^2 =0.7311; relative water content & leaf rolling index (Flowering stage): R^2 =0.8723; relative water content & leaf rolling index (Seedling stage): R^2 =0.7775; stomatal conductance & leaf rolling index (Flowering stage): R^2 =0.6199; stomatal conductance & leaf rolling index (Seedling stage): R^2 =0.6088; electron transport rate & leaf rolling index (Flowering stage): R^2 =0.2352; electron transport rate & leaf rolling index (Seedling stage): R^2 =0.8900
10.3390/rs9080828,Adaptive Estimation of Crop Water Stress in Nectarine and Peach Orchards Using High-Resolution Imagery from an Unmanned Aerial Vehicle (UAV),Nectarine (cv. Autumn Bright) and Peach (cv. August Flame) trees,8,"Stonefruit Field Laboratory orchard, Tatura, Victoria, Australia",Linear regression (R^2),adaptive crop water stress index (CWSI) (0 to 1 | not applicable); conventional CWSI (0 to 1 | not applicable),"stem water potential (SWP, ψ_stem) (-3.0 to -1.0 | MPa); stomatal conductance (g_s) (0 to 0.3 | mol m^-2 s^-1)","adaptive crop water stress index (CWSI) & stem water potential (SWP, ψ_stem): R^2 = 0.72; adaptive crop water stress index (CWSI) & stomatal conductance (g_s): R^2 = 0.82; conventional CWSI & stem water potential (SWP, ψ_stem): R^2 = 0.27; conventional CWSI & stomatal conductance (g_s): R^2 = 0.34"
10.1016/j.agwat.2016.08.031,Estimating maize water stress by standard deviation of canopy temperature in thermal imagery,maize (Zea mays L.) under various levels of deficit irrigation at different crop growing stages,12,"USDA-ARS Limited Irrigation Research Farm, Greeley, Colorado, USA",statistically significant correlation (R^2),midday leaf water potential (-1.0 to -3.0 | MPa); stomatal conductance (0-1500 | mmol m^-2 s^-1); soil water deficit (0-100 | mm); crop water stress index (-0.5-1.0 | not applicable); measured average canopy temperature (25-50 | °C); measured canopy temperature standard deviation (0-5 | °C); volumetric soil samples (not applicable | not applicable),canopy temperature standard deviation (0.5-4.0 | °C); crop water stress index (-0.5-1.0 | not applicable); estimated average canopy temperature (25-50 | °C); estimated canopy temperature standard deviation (0-5 | °C); neutron moisture meter (not applicable | not applicable),midday leaf water potential & canopy temperature standard deviation (2012): R^2 =0.94; midday leaf water potential & canopy temperature standard deviation (2013): R^2 =0.61; stomatal conductance & canopy temperature standard deviation (2012): R^2 =0.69; stomatal conductance & canopy temperature standard deviation (2013): R^2 =0.68; soil water deficit & canopy temperature standard deviation (2012): R^2 =0.48; soil water deficit & canopy temperature standard deviation (2013): R^2 =0.56; soil water deficit & crop water stress index (2012): R^2 =0.37; soil water deficit & crop water stress index (2013): R^2 =0.78; crop water stress index & canopy temperature standard deviation (2012): R^2 =0.76; crop water stress index & canopy temperature standard deviation (2013): R^2 =0.54; measured average canopy temperature & estimated average canopy temperature: R^2 =0.98; measured canopy temperature standard deviation & estimated canopy temperature standard deviation: R^2 =0.97; volumetric soil samples & neutron moisture meter: R^2 =0.92
10.1016/j.agwat.2023.108442,Evaluation of UAV-based drought indices for crop water conditions monitoring: A case study of summer maize,summer maize (Zea mays L.) under four plant density treatments and 14 maize varieties,232,"Xinxiang Experiment Site of the Chinese Academy of Agricultural Sciences, Henan, China",correlation analysis (correlation r); linear function (linear R^2); binomial function (binomial R^2); trinomial function (trinomial R^2); quaternion function (quaternion R^2); random forest (RF R^2),normalized relative canopy temperature (0-1 | not applicable); temperature vegetation drought index (0-1 | not applicable); three-dimension drought index (0-1 | not applicable); normalized difference vegetation index (0.0-1.0 | not applicable); air temperature (27.33-36.25 | °C),vegetation moisture content (64.00-94.98 | %); surface temperature (28.53-44.21 | °C); temperature vegetation drought index (0-1 | not applicable); normalized relative canopy temperature (0-1 | not applicable),"normalized relative canopy temperature & vegetation moisture content (July 9): correlation r = 0.07; temperature vegetation drought index & vegetation moisture content (July 9): correlation r = 0.31; three-dimension drought index & vegetation moisture content (July 9): correlation r = 0.35; normalized relative canopy temperature & vegetation moisture content (July 15): correlation r = 0.69; temperature vegetation drought index & vegetation moisture content (July 15): correlation r = 0.81; three-dimension drought index & vegetation moisture content (July 15): correlation r = 0.86; normalized relative canopy temperature & vegetation moisture content (July 24): correlation r = 0.73; temperature vegetation drought index & vegetation moisture content (July 24): correlation r = 0.81; three-dimension drought index & vegetation moisture content (July 24): correlation r = 0.85; normalized relative canopy temperature & vegetation moisture content (Aug. 4): correlation r = 0.20; temperature vegetation drought index & vegetation moisture content (Aug. 4): correlation r = 0.46; three-dimension drought index & vegetation moisture content (Aug. 4): correlation r = 0.49; normalized relative canopy temperature & vegetation moisture content (Aug. 14): correlation r = 0.13; temperature vegetation drought index & vegetation moisture content (Aug. 14): correlation r = 0.44; three-dimension drought index & vegetation moisture content (Aug. 14): correlation r = 0.49; normalized relative canopy temperature & vegetation moisture content (Aug. 20): correlation r = 0.44; temperature vegetation drought index & vegetation moisture content (Aug. 20): correlation r = 0.69; three-dimension drought index & vegetation moisture content (Aug. 20): correlation r = 0.55; normalized relative canopy temperature & vegetation moisture content (All): correlation r = 0.59; temperature vegetation drought index & vegetation moisture content (All): correlation r = 0.64; three-dimension drought index & vegetation moisture content (All): correlation r = 0.71; normalized difference vegetation index & surface temperature (Dry edge, July 9): linear R^2 = 0.62; normalized difference vegetation index & surface temperature (Wet edge, July 9): linear R^2 = 0.41; normalized difference vegetation index & surface temperature (Dry edge, July 15): linear R^2 = 0.56; normalized difference vegetation index & surface temperature (Wet edge, July 15): linear R^2 = 0.49; normalized difference vegetation index & surface temperature (Dry edge, July 24): linear R^2 = 0.41; normalized difference vegetation index & surface temperature (Wet edge, July 24): linear R^2 = 0.39; normalized difference vegetation index & surface temperature (Dry edge, Aug. 4): linear R^2 = 0.41; normalized difference vegetation index & surface temperature (Wet edge, Aug. 4): linear R^2 = 0.42; normalized difference vegetation index & surface temperature (Dry edge, Aug. 14): linear R^2 = 0.53; normalized difference vegetation index & surface temperature (Wet edge, Aug. 14): linear R^2 = 0.52; normalized difference vegetation index & surface temperature (Dry edge, Aug. 20): linear R^2 = 0.49; normalized difference vegetation index & surface temperature (Wet edge, Aug. 20): linear R^2 = 0.45; normalized difference vegetation index; air temperature & surface temperature (Dry surface, Linear function): linear R^2 = 0.26; normalized difference vegetation index; air temperature & surface temperature (Wet surface, Linear function): linear R^2 = 0.19; normalized difference vegetation index; air temperature & surface temperature (Dry surface, Binomial function): binomial R^2 = 0.45; normalized difference vegetation index; air temperature & surface temperature (Wet surface, Binomial function): binomial R^2 = 0.42; normalized difference vegetation index; air temperature & surface temperature (Dry surface, Trinomial function): trinomial R^2 = 0.41; normalized difference vegetation index; air temperature & surface temperature (Wet surface, Trinomial function): trinomial R^2 = 0.37; normalized difference vegetation index; air temperature & surface temperature (Dry surface, Quaternion function): quaternion R^2 = 0.43; normalized difference vegetation index; air temperature & surface temperature (Wet surface, Quaternion function): quaternion R^2 = 0.44; normalized difference vegetation index; air temperature & surface temperature (Dry surface, Random forest): RF R^2 = 0.79; normalized difference vegetation index; air temperature & surface temperature (Wet surface, Random forest): RF R^2 = 0.80; normalized relative canopy temperature & temperature vegetation drought index: correlation r = 0.92; three-dimension drought index & normalized relative canopy temperature: correlation r = 0.49; three-dimension drought index & temperature vegetation drought index: correlation r = 0.58; normalized relative canopy temperature & vegetation moisture content (temporal variation): correlation r = -0.07; temperature vegetation drought index & vegetation moisture content (temporal variation): correlation r = 0.06; three-dimension drought index & vegetation moisture content (temporal variation): correlation r = 0.67; three-dimension drought index & vegetation moisture content (maize varieties): correlation r = 0.78; three-dimension drought index & vegetation moisture content (45 000 plants/hm^2): correlation r = 0.85; three-dimension drought index & vegetation moisture content (60 000 plants/hm^2): correlation r = 0.76; three-dimension drought index & vegetation moisture content (75 000 plants/hm^2): correlation r = 0.64; three-dimension drought index & vegetation moisture content (90 000 plants/hm^2): correlation r = 0.51"
10.3389/fpls.2020.00595,Image-Based Assessment of Drought Response in Grapevines,Potted grapevines (Vitis vinifera cv Aleatico) grafted on 110R rootstock grown in black 3.5 L PVC pots,45,"National Plant Phenomics Centre, IBERS-Aberystwyth University, United Kingdom",Linear regression analysis (R^2);,stem water potential (Ψ) (-0.4 to -1.1 | MPa); projected shoot area (PSA) (700 to 1200 | pixel); measured leaf area (LA) (2000 to 3600 | cm^2 p^-1),"leaf angle (with three regions of the canopy: lower is nodes 1-5 from ground, middle is nodes 6-11, upper is nodes >11) (60 to 130 | °); measured Leaf area (2000 to 3600 | cm^2 p^-1)","stem water potential & leaf angle (goniometer): R^2 = 0.86; stem water potential & leaf angle (3D images): R^2 = 0.73; stem water potential & leaf angle (goniometer, upper region of canopy where nodes >11): R^2 = 0.76; stem water potential & leaf angle (goniometer, middle region of canopy where nodes 6-11): R^2 = 0.86; stem water potential & leaf angle (goniometer, lower region of canopy where nodes 1-5 from ground): R^2 = 0.66; projected shoot area & measured Leaf area: R^2 = 0.78"
10.1007/s11119-013-9334-5,Mapping crop water stress index in a ‘Pinot-noir’ vineyard: comparing ground measurements with thermal remote sensing imagery from an unmanned aerial vehicle,‘Pinot-noir’ (Vitis vinifera L.) grapevines in an 11-ha commercial vineyard,184,"Raimat, Lleida, Spain",linear relationship (airborne R^2); linear function (baseline R^2); linear correlation (CWSI R^2); ANCOVA (F),leaf water potential (ΨL) (-1.8 to -0.4 | MPa); vapour pressure deficit (VPD) (0 to 6 | kPa),difference of canopy and air temperatures (Tc - Ta) (-10 to 10 | °C); crop water stress index (CWSI) (-0.2 to 1.2 | not applicable),"leaf water potential & difference of canopy and air temperatures (09:30 h, 0.3 m pixel resolution): airborne R^2 = 0.46; leaf water potential & difference of canopy and air temperatures (09:30 h, 0.6 m pixel resolution): airborne R^2 = 0.42; leaf water potential & difference of canopy and air temperatures (09:30 h, 0.8 m pixel resolution): airborne R^2 = 0.41; leaf water potential & difference of canopy and air temperatures (09:30 h, 1.0 m pixel resolution): airborne R^2 = 0.39; leaf water potential & difference of canopy and air temperatures (09:30 h, 1.2 m pixel resolution): airborne R^2 = 0.36; leaf water potential & difference of canopy and air temperatures (09:30 h, 1.5 m pixel resolution): airborne R^2 = 0.34; leaf water potential & difference of canopy and air temperatures (09:30 h, 2.0 m pixel resolution): airborne R^2 = 0.30; leaf water potential & difference of canopy and air temperatures (12:30 h, 0.3 m pixel resolution): airborne R^2 = 0.71; leaf water potential & difference of canopy and air temperatures (12:30 h, 0.6 m pixel resolution): airborne R^2 = 0.38; leaf water potential & difference of canopy and air temperatures (12:30 h, 0.8 m pixel resolution): airborne R^2 = 0.27; leaf water potential & difference of canopy and air temperatures (12:30 h, 1.0 m pixel resolution): airborne R^2 = 0.22; leaf water potential & difference of canopy and air temperatures (12:30 h, 1.2 m pixel resolution): airborne R^2 = 0.05; leaf water potential & difference of canopy and air temperatures (12:30 h, 1.5 m pixel resolution): airborne R^2 = 0.28; leaf water potential & difference of canopy and air temperatures (12:30 h, 2.0 m pixel resolution): airborne R^2 = 0.29; vapour pressure deficit & difference of canopy and air temperatures (2009): baseline R^2 = 0.79; vapour pressure deficit & difference of canopy and air temperatures (2010): baseline R^2 = 0.61; vapour pressure deficit & difference of canopy and air temperatures (intercept differences between years): F = 28.73; vapour pressure deficit & difference of canopy and air temperatures (minimum values): baseline R^2 = 0.72; vapour pressure deficit & difference of canopy and air temperatures (upper limit): baseline R^2 = 0.82; vapour pressure deficit & difference of canopy and air temperatures (lower limit): baseline R^2 = 1.00; leaf water potential & crop water stress index (ground measurements using IRTS, 2009): CWSI R^2 = 0.43; leaf water potential & crop water stress index (ground measurements using IRTS, 2010): CWSI R^2 = 0.85; leaf water potential & crop water stress index (ground measurements using IRTS, pooled 2009 and 2010): CWSI R^2 = 0.83; leaf water potential & crop water stress index (airborne imagery, 12:30 hours): CWSI R^2 = 0.71"
10.1016/j.rse.2004.12.007,Spectral sensing of foliar water conditions in two co-occurring conifer species: Pinus edulis and Juniperus monosperma,"needles of two conifer species, Pinus edulis (Colorado piñon pine) and Juniperus monosperma (one-seed juniper), collected from different branches and stems at a height of 1-2 m","28 trees (19 Pinus edulis, 9 Juniperus monosperma)","Mesita del Buey piñon–juniper woodland research site, Los Alamos National Laboratory, New Mexico, USA",linear regressions (R^2),water content (0 to 60 | % mass); water potential (-6.5 to -1.0 | MPa),Absorption Index at 970 nm (0 to 0.02 | not applicable); Absorption Index at 1200 nm (-0.01 to 0.04 | not applicable); Normalized Difference Vegetation Index (NDVI) (0.0 to 1.0 | not applicable); Normalized Difference Water Index (NDWI) (-0.02 to 0.10 | not applicable); red edge position (640 to 740 | nm),"water content & Absorption Index at 970 nm (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.57; water content & Absorption Index at 1200 nm (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.06; water content & Normalized Difference Vegetation Index (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.71; water content & Normalized Difference Water Index (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.68; water content & red edge position (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.45; water potential & Absorption Index at 970 nm (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.44; water potential & Absorption Index at 1200 nm (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.40; water potential & Normalized Difference Vegetation Index (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.35; water potential & Normalized Difference Water Index (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.49; water potential & red edge position (Pinus edulis, excluding trees undergoing mortality): R^2 = 0.34; water content & Absorption Index at 970 nm (Pinus edulis, including trees undergoing mortality): R^2 = 0.93; water content & Absorption Index at 1200 nm (Pinus edulis, including trees undergoing mortality): R^2 = 0.60; water content & Normalized Difference Vegetation Index (Pinus edulis, including trees undergoing mortality): R^2 = 0.82; water content & Normalized Difference Water Index (Pinus edulis, including trees undergoing mortality): R^2 = 0.93; water content & red edge position (Pinus edulis, including trees undergoing mortality): R^2 = 0.65; water potential & Absorption Index at 970 nm (Pinus edulis, including trees undergoing mortality): R^2 = 0.86; water potential & Absorption Index at 1200 nm (Pinus edulis, including trees undergoing mortality): R^2 = 0.60; water potential & Normalized Difference Vegetation Index (Pinus edulis, including trees undergoing mortality): R^2 = 0.70; water potential & Normalized Difference Water Index (Pinus edulis, including trees undergoing mortality): R^2 = 0.85; water potential & red edge position (Pinus edulis, including trees undergoing mortality): R^2 = 0.51; water content & Absorption Index at 970 nm (Juniperus monosperma): R^2 = 0.50; water content & Absorption Index at 1200 nm (Juniperus monosperma): R^2 = 0.37; water content & Normalized Difference Vegetation Index (Juniperus monosperma): R^2 = 0.33; water content & Normalized Difference Water Index (Juniperus monosperma): R^2 = 0.03; water content & red edge position (Juniperus monosperma): R^2 = 0.11; water potential & Absorption Index at 970 nm (Juniperus monosperma): R^2 = 0.09; water potential & Absorption Index at 1200 nm (Juniperus monosperma): R^2 = 0.40; water potential & Normalized Difference Vegetation Index (Juniperus monosperma): R^2 = 0.68; water potential & Normalized Difference Water Index (Juniperus monosperma): R^2 = 0.66; water potential & red edge position (Juniperus monosperma): R^2 = 0.63"
10.1016/j.compag.2016.07.028,"Temporal dynamics of maize plant growth, water use, and leaf water content using automated high throughput RGB and hyperspectral imaging","maize (two maize inbred genotypes, B73 and FFMM-A)",44,high throughput imaging greenhouse at University of Nebraska-Lincoln,linear regression (linear R^2); second order polynomial regression (polynomial R^2); partial least squares regression (PLSR R^2),plant projected area (pixel count) (0 to 160 | pixel * 1000); leaf reflectance spectra (not applicable | not applicable); Measured Leaf Water Content (60 to 100 | %),Leaf Area (0 to 2000 | cm^2); Shoot Fresh Weight (0 to 100 | g); Shoot Dry Weight (0 to 20 | g); plant leaf water content (68.1 to 92.3 | %); Predicted Leaf Water Content (60 to 100 | %),"plant projected area (pixel count) & Leaf Area (Stage 1, DAS 6 to 26): linear R^2 = 0.986; plant projected area (pixel count) & Shoot Fresh Weight (Stage 1, DAS 6 to 26): linear R^2 = 0.993; plant projected area (pixel count) & Shoot Dry Weight (Stage 1, DAS 6 to 26): polynomial R^2 = 0.952; leaf reflectance spectra & plant leaf water content (FFMM-A, n=22): PLSR R^2 = 0.81; leaf reflectance spectra & plant leaf water content (B73, n=22): PLSR R^2 = 0.92; leaf reflectance spectra & plant leaf water content (All, n=44): PLSR R^2 = 0.87; Measured Leaf Water Content & Predicted Leaf Water Content (All genotypes combined): linear R^2 = 0.87"
10.1016/j.agwat.2020.106584,The feasibility of hand-held thermal and UAV-based multispectral imaging for canopy water status assessment and yield prediction of irrigated African eggplant (Solanum aethopicum L),African eggplant (Solanum aethopicum L.),54,"Rudewa watershed, Kilosa District, Morogoro Region, Tanzania",Correlation analysis (LMC R^2); Linear regression model (yield r^2); Regression relationship (validation r^2),leaf moisture content (0.6 to 0.9 | %); crop water stress index (0.23 to 0.61 | not applicable); Normalized Difference Vegetation Index (0.32 to 0.74 | not applicable); Optimized Soil Adjusted Vegetation Index (0.32 to 0.72 | not applicable),Normalized Difference Vegetation Index (0 to 0.8 | not applicable); Optimized Soil Adjusted Vegetation Index (0 to 0.8 | not applicable); crop water stress index (0 to 0.8 | not applicable); eggplant yields (not reported | t/ha); predicted eggplant yields (not reported | t/ha),"leaf moisture content & Normalized Difference Vegetation Index (irrigated at I100, vegetative stage): LMC R^2 = 0.5; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I100, vegetative stage): LMC R^2 = 0.51; leaf moisture content & Normalized Difference Vegetation Index (irrigated at I100, full vegetative stage): LMC R^2 = 0.52; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I100, full vegetative stage): LMC R^2 = 0.54; leaf moisture content & crop water stress index (irrigated at I80, early stage): LMC R^2 = 0.58; leaf moisture content & Normalized Difference Vegetation Index (irrigated at I80, vegetative stage): LMC R^2 = 0.54; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I80, vegetative stage): LMC R^2 = 0.5; leaf moisture content & crop water stress index (irrigated at I80, full vegetative stage): LMC R^2 = 0.52; leaf moisture content & Normalized Difference Vegetation Index (irrigated at I80, full vegetative stage): LMC R^2 = 0.57; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I80, full vegetative stage): LMC R^2 = 0.54; leaf moisture content & crop water stress index (irrigated at I160, vegetative stage): LMC R^2 = 0.81; leaf moisture content & Normalized Difference Vegetation Index (irrigated at I160, vegetative stage): LMC R^2 = 0.68; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I160, vegetative stage): LMC R^2 = 0.69; leaf moisture content & crop water stress index (irrigated at I160, full vegetative stage): LMC R^2 = 0.75; leaf moisture content & Normalized Difference Vegetation Index (irrigated at I160, full vegetative stage): LMC R^2 = 0.56; leaf moisture content & Optimized Soil Adjusted Vegetation Index (irrigated at I160, full vegetative stage): LMC R^2 = 0.61; crop water stress index & eggplant yields (irrigated at I160, vegetative stage): yield r^2 = 0.53; Normalized Difference Vegetation Index & eggplant yields (irrigated at I1100, vegetative stage): yield r^2 = 0.60; Optimized Soil Adjusted Vegetation Index & eggplant yields (irrigated at I1100, vegetative stage): yield r^2 = 0.57; Normalized Difference Vegetation Index & eggplant yields (irrigated at I180, vegetative stage): yield r^2 = 0.73; Optimized Soil Adjusted Vegetation Index & eggplant yields (irrigated at I180, vegetative stage): yield r^2 = 0.69; Normalized Difference Vegetation Index & eggplant yields (irrigated at I160, vegetative stage): yield r^2 = 0.64; Optimized Soil Adjusted Vegetation Index & eggplant yields (irrigated at I160, vegetative stage): yield r^2 = 0.63; crop water stress index & eggplant yields (irrigated at I180, full vegetative stage): yield r^2 = 0.55; Normalized Difference Vegetation Index & eggplant yields (irrigated at I180, full vegetative stage): yield r^2 = 0.76; Optimized Soil Adjusted Vegetation Index & eggplant yields (irrigated at I180, full vegetative stage): yield r^2 = 0.71; crop water stress index & eggplant yields (irrigated at I160, full vegetative stage): yield r^2 = 0.76; Normalized Difference Vegetation Index & eggplant yields (irrigated at I160, full vegetative stage): yield r^2 = 0.56; Optimized Soil Adjusted Vegetation Index & eggplant yields (irrigated at I160, full vegetative stage): yield r^2 = 0.59; crop water stress index & predicted eggplant yields (model accuracy validation, irrigated at I160, vegetative stage): validation r^2 = 0.62; Normalized Difference Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I1100, vegetative stage): validation r^2 = 0.67; Optimized Soil Adjusted Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I1100, vegetative stage): validation r^2 = 0.69; Normalized Difference Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I180, vegetative stage): validation r^2 = 0.77; Optimized Soil Adjusted Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I180, vegetative stage): validation r^2 = 0.71; Normalized Difference Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I160, vegetative stage): validation r^2 = 0.63; Optimized Soil Adjusted Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I160, vegetative stage): validation r^2 = 0.65; crop water stress index & predicted eggplant yields (model accuracy validation, irrigated at I180, full vegetative stage): validation r^2 = 0.78; Normalized Difference Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I180, full vegetative stage): validation r^2 = 0.87; Optimized Soil Adjusted Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I180, full vegetative stage): validation r^2 = 0.86; crop water stress index & predicted eggplant yields (model accuracy validation, irrigated at I160, full vegetative stage): validation r^2 = 0.6; Normalized Difference Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I160, full vegetative stage): validation r^2 = 0.54; Optimized Soil Adjusted Vegetation Index & predicted eggplant yields (model accuracy validation, irrigated at I160, full vegetative stage): validation r^2 = 0.57"
10.1016/j.agwat.2021.106866,The mean value of gaussian distribution of excess green index: A new crop water stress indicator,Maize (Zea mays L.) field plots under varying levels of deficit irrigation,199,"USDA-ARS Limited Irrigation Research Farm, Greeley, Colorado, USA",Linear regression analysis (R^2),mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) (0.10 to 0.40 | not applicable); vapor pressure deficit (VPD) (0.6 to 4.0 | kPa); leaf water potential (LWP) (-2.0 to -1.1 | MPa); degrees above non-stressed (not reported | not applicable); standard deviation of canopy temperature (CTSD) (not reported | not applicable),maize canopy temperature (Tc) (24.0 to 40.0 | °C); canopy-to-air temperature difference (Tc-Ta) (-10.0 to 6.0 | °C); crop water stress index (CWSI) (-0.03 to 1.17 | not applicable); maize leaf water potential (LWP) (-2.0 to -1.1 | MPa); sap flow (0.0 to 1.4 | mm h^-1),"mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & crop water stress index (CWSI) (2013): R^2 = 0.63; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & crop water stress index (CWSI) (2015): R^2 = 0.80; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & crop water stress index (CWSI) (2016): R^2 = 0.80; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & crop water stress index (CWSI) (Three years, n = 199): R^2 = 0.64; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize canopy temperature (Tc) (2013): R^2 = 0.66; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize canopy temperature (Tc) (2015): R^2 = 0.71; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize canopy temperature (Tc) (2016): R^2 = 0.73; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize canopy temperature (Tc) (Three years, n = 199): R^2 = 0.61; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & canopy-to-air temperature difference (Tc-Ta) (2013): R^2 = 0.47; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & canopy-to-air temperature difference (Tc-Ta) (2015): R^2 = 0.69; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & canopy-to-air temperature difference (Tc-Ta) (2016): R^2 = 0.80; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & canopy-to-air temperature difference (Tc-Ta) (Three years, n = 199): R^2 = 0.50; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize leaf water potential (LWP) (2013): R^2 = 0.85; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & maize leaf water potential (LWP) (2015, DOY 204): R^2 = 0.87; mean value of Gaussian distribution of excess green index for maize canopy (MGDEXG) & sap flow (2015): R^2 = 0.62; vapor pressure deficit (VPD) & canopy-to-air temperature difference (Tc-Ta) (2016 growth season): R^2 = 0.91; degrees above non-stressed & maize leaf water potential (LWP): R^2 = 0.66; standard deviation of canopy temperature (CTSD) & crop water stress index (CWSI): R^2 = 0.54"
