DOI,Paper Title,Study Population / Unit of Analysis,Total Sample Size,Geographical Setting (n),Association Test Method,Independent Variable Unit,Dependent Variable Unit,Effect Size (Correlation/P-value)
10.1016/j.midw.2015.11.002,"Compassion for others, self-compassion, quality of life and mental well-being measures and their association with compassion fatigue and burnout in student midwives: A quantitative survey",student midwives studying at university,103,a university in the north-west of England (UK),Pearson’s correlations (r),Self-judgement (1-5 Likert scale | not applicable); Self-kindness (1-5 Likert scale | not applicable); Self-compassion (1-5 Likert scale | not applicable),Burnout (1-5 Likert scale | not applicable); Compassion fatigue (1-5 Likert scale | not applicable); Compassion satisfaction (1-5 Likert scale | not applicable); Well-being (1-5 Likert scale | not applicable); Compassion for others (1-5 Likert scale | not applicable),Self-judgement & Burnout: r = 0.283; Self-judgement & Compassion fatigue: r = 0.233; Self-judgement & Compassion satisfaction: r = -0.170; Self-judgement & Well-being: r = -0.373; Self-judgement & Compassion for others: r = -0.216; Self-kindness & Burnout: r = -0.203; Self-kindness & Compassion fatigue: r = -0.130; Self-kindness & Compassion satisfaction: r = 0.125; Self-kindness & Well-being: r = 0.408; Self-kindness & Compassion for others: r = 0.186; Self-compassion & Burnout: r = −0.312; Self-compassion & Compassion fatigue: r = -0.192; Self-compassion & Compassion satisfaction: r = 0.201; Self-compassion & Well-being: r = 0.382; Self-compassion & Compassion for others: r = 0.132
10.1016/j.nedt.2016.08.030,"A pilot study exploring the relationship between self-compassion, self-judgement, self-kindness, compassion, professional quality of life and wellbeing among UK community nurses",Registered community nurses,37,North of England,Spearman’s rho correlation (r),Self-compassion (1–5 | not applicable); Self-kindness (Self-compassion) (1–5 | not applicable); Self-judgement (Self-compassion) (1–5 | not applicable),Burnout (1-5 Likert scale | not applicable); Compassion fatigue (1-5 Likert scale | not applicable); Compassion satisfaction (1-5 Likert scale | not applicable); Wellbeing (1-5 Likert scale | not applicable); Compassion for others (1-5 Likert scale | not applicable),Self-compassion & Burnout: r = −0.369; Self-compassion & Compassion fatigue: r = −0.182; Self-compassion & Compassion satisfaction: r = 0.080; Self-compassion & Wellbeing: r = 0.118; Self-compassion & Compassion for others: r = −0.191; Self-judgement & Burnout: r = 0.315; Self-judgement & Compassion fatigue: r = 0.163; Self-judgement & Compassion satisfaction: r = 0.061; Self-judgement & Wellbeing: r = −0.086; Self-judgement & Compassion for others: r = 0.128; Self-kindness & Burnout: r = −0.351; Self-kindness & Compassion fatigue: r = −0.011; Self-kindness & Compassion satisfaction: r = 0.056; Self-kindness & Wellbeing: r = 0.136; Self-kindness & Compassion for others: r = 0.027
10.1016/j.paid.2017.06.003,Dimensionality and gender-based measurement invariance of the Compassion Scale in a community sample,Portuguese adults,610,the North and Center regions of Portugal,Spearman product-moment correlation coefficient (ρ),Compassion (five-point Likert scale | not applicable),Early Memories of Warmth and Safeness (five-point Likert scale | not applicable); Social Safeness and Pleasure (five-point Likert scale | not applicable); Positive affect (five-point Likert scale | not applicable); Negative affect (five-point Likert scale | not applicable),Compassion & Early Memories of Warmth and Safeness: ρ = 0.133; Compassion & Social Safeness and Pleasure: ρ = 0.209; Compassion & Positive affect: ρ = 0.136; Compassion & Negative affect: ρ = -0.088
10.15241/nc.9.4.285,Individual and Relational Predictors of Compassion Fatigue Among Counselors-in-Training,master’s-level counseling students,86,United States,Pearson correlation analysis (r); Hierarchical multiple regression analysis (standardized β),Empathy (5-point Likert-type scale | not applicable); Supervisory working alliance (7-point Likert-type scale | not applicable); Resilience (5-point Likert-type scale | not applicable); Wellness (7-point Likert-type scale | not applicable),Compassion fatigue (not applicable | not applicable),Resilience & Compassion fatigue: r = -0.47; Wellness & Compassion fatigue: r = -0.45; Empathy & Compassion fatigue: r = -0.06; Supervisory working alliance & Compassion fatigue: r = 0.04; Empathy & Compassion fatigue: β = −0.02; Supervisory working alliance & Compassion fatigue: β = 0.04; Wellness & Compassion fatigue: β = −0.30; Resilience & Compassion fatigue: β = −0.36
10.1007/s12671-017-0777-z,"Compassion for Others and Self-Compassion: Levels, Correlates, and Relationship with Psychological Well-being",Adults from the general population,328,five middle size cities in the Netherlands,Pearson correlation (r),Self-compassion (5-point Likert scale | not applicable); Compassion for others (7-point Likert scale | not applicable); Self-coldness (5-point Likert scale | not applicable),Depressive symptoms (4-point Likert scale | not applicable); Negative affect (5-point Likert scale | not applicable); Positive affect (5-point Likert scale | not applicable),Compassion for others & Depressive symptoms: r = -0.001; Compassion for others & Negative affect: r = -0.050; Compassion for others & Positive affect: r = 0.072; Self-compassion & Depressive symptoms: r = -0.318; Self-compassion & Negative affect: r = -0.221; Self-compassion & Positive affect: r = 0.351; Self-coldness & Depressive symptoms: r = 0.543; Self-coldness & Negative affect: r = 0.527; Self-coldness & Positive affect: r = -0.240
10.1007/s12671-018-1045-6,"Differences in Compassion, Well-being, and Social Anxiety Between Japan and the USA",Adults from USA and Japan,"505 (USA: 258, Japan:247)",USA; Japan,Pearson product-moment correlations (r); Hierarchical multiple regression analyses (standardized β),Self-compassion (5-point scale | not applicable); Compassion for others (7-point scale | not applicable),Positive affect (5-point scale | not applicable); Negative affect (5-point scale | not applicable); Satisfaction with life (5-point scale | not applicable); Interdependent happiness (5-point scale | not applicable); Social anxiety (5-point scale | not applicable); Taijin kyofusho symptoms (7-point scale | not applicable),"Self-compassion & Positive affect (USA): r = 0.55; Self-compassion & Negative affect (USA): r = -0.54; Self-compassion & Satisfaction with life (USA): r = 0.51; Self-compassion & Interdependent happiness (USA): r = 0.55; Self-compassion & Social anxiety (USA): r = -0.53; Self-compassion & Taijin kyofusho symptoms (USA): r = -0.47; Compassion for others & Positive affect (USA): r = 0.29; Compassion for others & Negative affect (USA): r = -0.19; Compassion for others & Satisfaction with life (USA): r = 0.16; Compassion for others & Interdependent happiness (USA): r = 0.16; Compassion for others & Social anxiety (USA): r = -0.12; Compassion for others & Taijin kyofusho symptoms (USA): r = -0.28; Self-compassion & Positive affect (hierarchical multiple regression analyses, standardized effect) (USA simple slope): β = 0.50; Compassion for others & Interdependent happiness (hierarchical multiple regression analyses, standardized effect) (USA simple slope): β = -0.03; Self-compassion & Positive affect (Japan): r = 0.19; Self-compassion & Negative affect (Japan): r = -0.39; Self-compassion & Satisfaction with life (Japan): r = 0.49; Self-compassion & Interdependent happiness (Japan): r = 0.50; Self-compassion & Social anxiety (Japan): r = -0.35; Self-compassion & Taijin kyofusho symptoms (Japan): r = -0.38; Compassion for others & Positive affect (Japan): r = 0.30; Compassion for others & Negative affect (Japan): r = 0.04; Compassion for others & Satisfaction with life (Japan): r = 0.26; Compassion for others & Interdependent happiness (Japan): r = 0.39; Compassion for others & Social anxiety (Japan): r = -0.06; Compassion for others & Taijin kyofusho symptoms (Japan): r = -0.15; Self-compassion & Positive affect (hierarchical multiple regression analyses, standardized effect) (Japan simple slope): β = 0.23; Compassion for others & Interdependent happiness (hierarchical multiple regression analyses, standardized effect) (Japan simple slope): β = 0.21"
10.3390/ijerph17134869,"The Interplay of Compassion, Subjective Happiness and Proactive Strategies on Kindergarten Teachers’ Work Engagement and Perceived Working Environment Fit",full-time in-service teachers in public kindergartens ,303,"Rome, Italy",Pearson correlations (r); Structural equation modelling (standardized β),Compassion (7-point Likert-type scale | not applicable); Subjective happiness (7-point Likert scale | not applicable),Work engagement (0–6 frequency rating scale | not applicable); Working environment fit (7-point Likert scale | not applicable),"Compassion & Work engagement: r = 0.38; Subjective happiness & Work engagement: r = 0.40; Compassion & Working environment fit: r = 0.22; Subjective happiness & Working environment fit: r = 0.13; Self-regulation & Work engagement: r = 0.48; Coregulation & Work engagement: r = 0.51; Self-regulation & Working environment fit: r = 0.37; Coregulation & Working environment fit: r = 0.47; Subjective happiness & Self-regulation: r = 0.46; Subjective happiness & Coregulation: r = 0.42; Compassion & Self-regulation: r = 0.26; Compassion & Coregulation: r = 0.27; Compassion & Work engagement (structural equation modelling, direct effect): β = 0.20; Subjective happiness & Work engagement (structural equation modelling, direct effect): β = 0.28; Compassion & Working environment fit (structural equation modelling, direct effect): β = 0.07; Subjective happiness & Working environment fit (structural equation modelling, direct effect): β = 0.05; Proactive Strategies & Work engagement (structural equation modelling, direct effect): β = 0.55; Proactive Strategies & Working environment fit (structural equation modelling, direct effect): β = 0.77; Subjective happiness & Proactive Strategies (structural equation modelling, direct effect): β = 0.57; Compassion & Proactive Strategies (structural equation modelling, direct effect): β = 0.15"
10.1007/s12671-020-01527-y,Compassion for Oneself and Others Protects the Mental Health of First Responders,Adult first responders,171,Western United States,Pearson correlations (r); Multiple regression analyses (β),Self-compassion (1–5 scale | not applicable); Compassionate love (1–7 scale | not applicable); Service role (not reported | not applicable),Psychological distress (z-score | not applicable); PTSD symptoms (0–80 scale | not applicable); Secondary traumatic stress symptoms (17–85 scale | not applicable); Personal accomplishment (0–18 scale | not applicable); Depersonalization (0–18 scale | not applicable); Emotional exhaustion (0–18 scale | not applicable); Resilience (1–5 scale | not applicable); Compassion satisfaction (10–50 scale | not applicable); Life satisfaction (5–25 scale | not applicable),Self-compassion & Psychological distress: β = -0.51; Self-compassion & PTSD symptoms: β = -0.49; Self-compassion & Secondary traumatic stress symptoms: β = -0.38; Compassionate love & Personal accomplishment: β = 0.31; Self-compassion & Personal accomplishment (traditional first responders): β = 0.21; Self-compassion & Depersonalization: β = -0.18; Compassionate love & Depersonalization: β = -0.32; Self-compassion & Emotional exhaustion: β = -0.35; Service role & Emotional exhaustion: β = -0.26; Self-compassion & Resilience: β = 0.46; Service role & Resilience: β = 0.21; Compassionate love & Compassion satisfaction: β = 0.30; Self-compassion & Compassion satisfaction (traditional first responders): β = 0.41; Self-compassion & Life satisfaction: β = 0.49
10.1007/s11031-021-09878-2,Compassion protects against vital exhaustion and negative emotionality,Adults (Young Finns Study),1031-1495,Finland,Multilevel growth curve modeling (B); structural equation models with cross-lagged panel design (predictive path coefficient),Compassion (5-point Likert-scale | not applicable),Negative emotionality (5-point scale | not applicable); Vital exhaustion (3-point scale | not applicable),Compassion & Vital exhaustion: B = -0.273; Compassion & Negative emotionality: B = -0.636; Compassion & Negative emotionality (SEM predictive path): predictive path coefficient = -0.16; Compassion & Vital exhaustion (SEM predictive path): predictive path coefficient = -0.13
10.1007/s12144-020-00949-0,Spanish version of the Santa Clara Brief Compassion Scale: evidence of validity and factorial invariance in Peru,University students,273,"Lima, Peru",Pearson correlations (r),Santa Clara Brief Compassion Scale (seven-point Likert scale | not applicable),WHO-Five Well-Being Index (0–3 Likert-type scale | not applicable); Mindful Attention Awareness Scale (six-point Likert-type scale | not applicable); Generalized Anxiety Disorder Scale-2 (0–3 Likert-type scale | not applicable); Abbreviated Basic Empathy Scale affective empathy (five-point Likert-type scale | not applicable); Abbreviated Basic Empathy Scale cognitive empathy (five-point Likert-type scale | not applicable),Santa Clara Brief Compassion Scale & WHO-Five Well-Being Index: r = 0.55; Santa Clara Brief Compassion Scale & Mindful Attention Awareness Scale: r = 0.53; Santa Clara Brief Compassion Scale & Generalized Anxiety Disorder Scale-2: r = -0.46; Santa Clara Brief Compassion Scale & Abbreviated Basic Empathy Scale affective empathy: r = 0.56; Santa Clara Brief Compassion Scale & Abbreviated Basic Empathy Scale cognitive empathy: r = 0.55
